mls,latitude,longitude,campus_number,school,rating
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
