mls,school
24313943,MEMORIAL EL
24185831,MEMORIAL EL
8997693,MEMORIAL EL
7847350,MEMORIAL EL
52669949,MEMORIAL EL
89258732,MEMORIAL EL
90065820,MEMORIAL EL
46868843,MEMORIAL EL
15065846,MEMORIAL EL
9413639,MEMORIAL EL
26915030,MEMORIAL EL
64220214,MEMORIAL EL
54183370,MEMORIAL EL
58930647,MEMORIAL EL
27253216,POE EL
40961862,POE EL
9445250,POE EL
20257555,POE EL
39469515,POE EL
76356920,POE EL
19274054,POE EL
45131807,POE EL
91608976,POE EL
97318399,POE EL
10231427,POE EL
42334048,POE EL
39259073,POE EL
56219752,POE EL
24273472,POE EL
43194405,POE EL
73581892,POE EL
73754952,POE EL
16203839,POE EL
14834187,POE EL
70777165,POE EL
3654933,POE EL
4453610,POE EL
76841251,POE EL
35492659,POE EL
44554630,POE EL
10307658,POE EL
67357632,POE EL
40196802,POE EL
5293266,POE EL
17936309,POE EL
61629759,POE EL
81497088,POE EL
84302430,POE EL
93841384,POE EL
23935015,POE EL
74850310,POE EL
51922388,POE EL
73871377,POE EL
49725831,POE EL
59516870,POE EL
69034123,POE EL
80417437,POE EL
91575672,POE EL
12933915,POE EL
36261746,POE EL
32334994,POE EL
15374390,POE EL
82985388,POE EL
91401688,POE EL
79557989,POE EL
29403923,POE EL
79988510,POE EL
11146956,POE EL
54644514,POE EL
95983629,POE EL
38006407,POE EL
7549366,POE EL
79792409,POE EL
31181794,POE EL
56369829,POE EL
80767861,POE EL
10883915,POE EL
67633905,POE EL
77534393,POE EL
47489212,POE EL
76762006,POE EL
21037204,POE EL
34544849,POE EL
48370514,POE EL
12917338,POE EL
5294443,POE EL
23622543,POE EL
42828805,POE EL
30829154,POE EL
7270412,POE EL
66254848,POE EL
16972266,POE EL
43364914,POE EL
5275914,POE EL
96267794,POE EL
3872865,POE EL
70137628,POE EL
61988112,POE EL
92409267,POE EL
91038234,POE EL
36019097,POE EL
7344983,RIVER OAKS EL
88433884,RIVER OAKS EL
62985044,RIVER OAKS EL
89705970,RIVER OAKS EL
5271450,RIVER OAKS EL
59929161,RIVER OAKS EL
82163834,RIVER OAKS EL
87477694,RIVER OAKS EL
30628478,RIVER OAKS EL
64281517,RIVER OAKS EL
46156010,RIVER OAKS EL
43093425,RIVER OAKS EL
40997662,RIVER OAKS EL
32268688,RIVER OAKS EL
30376231,RIVER OAKS EL
66687781,RIVER OAKS EL
25031177,RIVER OAKS EL
39983287,RIVER OAKS EL
53632916,RIVER OAKS EL
20637019,RIVER OAKS EL
10837770,RIVER OAKS EL
18714520,RIVER OAKS EL
39902451,RIVER OAKS EL
63883420,RIVER OAKS EL
70774103,RIVER OAKS EL
47402070,RIVER OAKS EL
39144423,RIVER OAKS EL
